name,Runs Analyzed,Number of Broken Builds,First Quartile,Mean Duration,Third Quartile
boinkor-net/governor,100,1,0,0.0,0
brendanzab/codespan,100,4,0,0.75,1
burtonageo/cargo-bundle,86,8,0,31.12,1
bytedance/monoio,100,15,0,0.33,0
casbin/casbin-rs,100,8,0,0.0,0
ccbrown/iocraft,100,8,0,0.0,0
ccxt/binance-rs,92,7,0,0.0,0
cessen/ropey,23,3,0,28.67,77
chenxiaolong/avbroot,100,4,0,0.0,0
chinedufn/percy,17,2,0,1.0,2
chipsenkbeil/distant,100,0,0,0,0
chiselstrike/chiselstore,0,,,,
chronotope/chrono,100,7,0,0.0,0
cjbassi/ytop,0,,,,
cksac/fake-rs,100,15,0,3.87,11
cloudflare/pingora,100,5,0,0.0,0
cmyr/cargo-instruments,54,3,0,2.0,6
colin-kiegel/rust-derive-builder,100,19,0,0.95,0
colored-rs/colored,60,9,3,8.78,11
console-rs/dialoguer,29,2,0,0.0,0
console-rs/indicatif,100,14,0,0.07,0
crossterm-rs/crossterm,100,10,0,2.6,1
cyphar/paperback,100,2,0,0.0,0
daboross/fern,37,4,0,50.5,0
dalek-cryptography/ed25519-dalek,0,,,,
databricks/click,11,2,0,0.0,0
davidB/kubectl-view-allocations,100,11,0,0.55,0
davidpdrsn/todo-or-die,0,,,,
dfrg/swash,78,2,0,0.5,1
dimforge/bevy_rapier,100,16,0,4.0,1
dimforge/parry,100,18,0,1.89,1
dimforge/rapier,100,26,0,1.42,0
dimforge/salva,31,7,0,2.29,3
dirs-dev/directories-rs,1,0,0,0,0
dirs-dev/dirs-rs,1,0,0,0,0
diwic/dbus-rs,33,5,0,11.6,4
djc/bb8,100,6,0,0.17,0
dotenv-linter/dotenv-linter,100,4,0,0.0,0
dotenv-rs/dotenv,1,0,0,0,0
dragostis/chili,86,10,0,8.2,0
dropbox/fast_rsync,14,0,0,0,0
dropbox/pb-jelly,36,1,0,0.0,0
dtolnay/anyhow,100,6,0,0.0,0
dtolnay/async-trait,100,4,0,0.0,0
dtolnay/cargo-expand,100,2,0,0.0,0
dtolnay/case-studies,100,0,0,0,0
dtolnay/dyn-clone,100,3,0,0.0,0
dtolnay/erased-serde,100,0,0,0,0
dtolnay/indoc,100,5,0,0.0,0
dtolnay/inventory,100,3,0,0.0,0
dtolnay/miniserde,100,2,0,0.0,0
dtolnay/no-panic,100,1,0,0.0,0
dtolnay/paste,74,2,0,0.5,1
dtolnay/prettyplease,100,1,0,0.0,0
dtolnay/proc-macro-workshop,100,1,0,0.0,0
dtolnay/proc-macro2,100,9,0,0.0,0
dtolnay/quote,100,3,0,0.0,0
dtolnay/reflect,100,0,0,0,0
dtolnay/ryu,100,1,0,0.0,0
dtolnay/semver,100,0,0,0,0
dtolnay/serde-yaml,0,,,,
dtolnay/thiserror,100,5,0,0.0,0
dtolnay/trybuild,100,2,0,0.0,0
dtolnay/typetag,100,2,0,0.0,0
dyc3/steamguard-cli,100,11,0,0.55,2
ebkalderon/tower-lsp,0,,,,
enigo-rs/enigo,100,13,0,0.15,0
erickt/rust-zmq,14,3,0,35.67,106
esp-rs/esp-idf-hal,100,15,0,0.8,0
esp-rs/std-training,100,0,0,0,0
est31/cargo-udeps,100,5,0,0.0,0
estk/log4rs,100,8,0,0.0,0
evenfurther/pathfinding,100,7,0,3.43,8
fabianlindfors/reshape,4,0,0,0,0
facebookexperimental/MIRAI,8,0,0,0,0
fadeevab/design-patterns-rust,4,1,3,3.0,3
fast/fastrace,100,14,0,0.14,0
fdehau/tui-rs,0,,,,
fereidani/kanal,100,0,0,0,0
ferrilab/bitvec,0,,,,
fitzgen/bumpalo,40,3,0,17.67,44
fitzgen/generational-arena,0,,,,
flamegraph-rs/flamegraph,100,5,0,1.6,3
fltk-rs/fltk-rs,100,3,0,0.0,0
fornwall/rust-script,80,19,0,0.0,0
foyer-rs/foyer,100,2,0,0.0,0
frondeus/test-case,100,1,301,301.0,301
fspoettel/advent-of-code-rust,12,0,0,0,0
fu5ha/ultraviolet,12,1,0,0.0,0
g1mv/density,46,4,0,1.5,0
geiger-rs/cargo-geiger,100,23,0,0.17,0
general-works/Glint,4,2,18,21.0,24
gimli-rs/gimli,100,6,0,0.5,0
gimli-rs/object,100,12,0,0.83,0
glotlabs/gdrive,0,,,,
gltf-rs/gltf,13,2,0,13.5,27
golemparts/rppal,57,0,0,0,0
google/argh,19,4,0,22.5,18
gorilla-devs/ferium,43,7,1,11.29,14
graphql-rust/graphql-client,100,28,0,0.36,0
greshake/i3status-rust,100,3,0,0.0,0
greyblake/nutype,100,12,0,1.33,0
grovesNL/glow,95,5,0,5.4,7
gschup/ggrs,41,3,0,5.0,15
gsquire/topngx,7,1,0,0.0,0
hahwul/jwt-hack,100,15,0,0.0,0
hanshuaikang/Nping,100,0,0,0,0
heim-rs/heim,100,0,0,0,0
helix-editor/nucleo,67,11,0,16.45,2
hoodie/notify-rust,100,16,0,0.62,0
hora-search/hora,0,,,,
http-rs/surf,0,,,,
http-rs/tide,0,,,,
hyperium/h3,100,12,0,9.58,4
hyperium/http,77,4,0,6.25,12
i3visio/solana-mev-bot,13,1,25,25.0,25
ibraheemdev/papaya,100,6,0,4.0,6
idanarye/rust-typed-builder,55,2,0,0.0,0
ihciah/shadow-tls,9,2,127,134.0,141
ilai-deutel/kibi,100,12,0,0.25,0
iliekturtles/uom,100,7,0,0.0,0
image-rs/image,100,12,0,0.67,0
image-rs/imageproc,100,11,0,0.82,0
imsnif/bandwhich,100,23,0,7.26,12
indexmap-rs/indexmap,100,2,0,1.5,3
iovxw/rssbot,92,12,0,8.42,2
itsjunetime/tdf,99,17,0,3.24,1
ivanceras/svgbob,33,1,0,0.0,0
ivmarkov/rust-esp32-std-demo,4,1,1,1.0,1
jacobdeichert/mask,29,3,0,4.33,13
jakobhellermann/bevy-inspector-egui,97,17,0,7.47,12
jam1garner/binrw,54,7,0,12.14,29
jamesmunns/postcard,100,6,0,3.83,6
japaric/xargo,0,,,,
jeromefroe/lru-rs,44,3,0,17.67,53
jetli/rust-yew-realworld-example-app,0,,,,
jkfran/killport,8,1,71,71.0,71
johanhelsing/matchbox,100,8,0,0.88,0
johnthagen/min-sized-rust,21,0,0,0,0
jonasbb/serde_with,100,2,0,0.0,0
jonhoo/bus,100,0,0,0,0
jonhoo/left-right,100,0,0,0,0
jpochyla/psst,100,14,0,4.0,1
jprochazk/garde,39,4,0,20.75,10
jrmuizel/raqote,1,1,214,214.0,214
juhaku/utoipa,100,12,0,8.08,1
jvns/dnspeep,0,,,,
kaist-cp/cs431,37,1,0,0.0,0
kawasin73/prsqlite,3,1,0,0.0,0
kbknapp/cargo-outdated,63,11,0,21.27,19
kevinmehall/rust-peg,36,4,0,10.25,2
kkawakam/rustyline,100,12,0,1.08,1
knurling-rs/probe-run,0,,,,
kognise/arpchat,0,,,,
kornelski/cavif-rs,9,1,84,84.0,84
kriomant/ch57x-keyboard-tool,5,0,0,0,0
kube-rs/kube,100,4,0,0.0,0
kyoheiu/felix,64,0,0,0,0
lapce/floem,100,6,0,2.33,4
latex-lsp/texlab,100,5,0,3.2,6
lemunozm/message-io,5,1,56,56.0,56
lemunozm/termchat,0,,,,
lichess-org/fishnet,32,3,0,0.0,0
linebender/kurbo,100,4,0,0.75,0
linebender/runebender,1,1,15,15.0,15
linkerd/linkerd2-proxy,100,3,0,0.0,0
lipanski/mockito,44,1,0,0.0,0
llogiq/mutagen,100,5,0,0.4,0
lmt-swallow/puppy-browser,0,,,,
lucaspoffo/renet,87,8,1,33.88,31
lunatic-solutions/submillisecond,0,,,,
lusingander/serie,100,2,0,0.0,0
m-ou-se/inline-python,23,5,0,0.0,0
m1guelpf/auto-commit,0,,,,
m1guelpf/plz-cli,1,1,153,153.0,153
m4b/bingrep,0,,,,
magic-wormhole/magic-wormhole.rs,100,9,0,1.11,0
mainmatter/100-exercises-to-learn-rust,100,19,0,11.68,14
makeecat/Peng,100,3,0,0.0,0
matklad/once_cell,89,13,0,2.38,0
matklad/xshell,30,4,0,23.5,0
matthiaskrgr/cargo-cache,100,1,99,99.0,99
mattsse/chromiumoxide,36,4,0,29.5,24
mattsse/voyager,2,1,274,274.0,274
max-niederman/ttyper,37,1,0,0.0,0
mbrubeck/agate,100,4,0,0.0,0
mcginty/snow,100,1,0,0.0,0
mdeloof/statig,100,3,0,0.0,0
meilisearch/heed,100,14,0,9.36,0
meilisearch/meilisearch,100,7,0,0.0,0
memorysafety/river,49,2,0,0.5,1
messense/jieba-rs,100,3,0,0.0,0
microsoft/Nova,100,3,1,2.0,4
microsoft/Spartan,28,4,0,3.0,0
microsoft/avml,100,6,0,0.0,0
microsoft/com-rs,3,1,371,371.0,371
microsoft/edit,100,7,0,0.57,0
microsoft/windows-drivers-rs,100,7,0,0.0,0
mikaelmello/inquire,100,18,0,7.39,0
mlange-42/git-graph,38,7,0,1.71,0
mmastrac/rust-ctor,100,17,0,4.65,0
moka-rs/moka,100,14,0,2.21,6
mooman219/fontdue,20,4,0,21.0,6
mrdimidium/nanoid,0,,,,
mrjackwills/oxker,13,3,0,17.67,53
mufeedvh/moonwalk,0,,,,
mufeedvh/pdfrip,4,1,0,0.0,0
mullvad/windows-service-rs,25,2,0,0.0,0
n0-computer/iroh,100,7,0,0.0,0
n0-computer/sendme,100,6,0,4.83,1
nagisa/rust_libloading,31,2,0,80.0,160
narrowlink/narrowlink,50,12,0,15.75,2
nashaofu/xcap,100,12,0,3.0,5
nats-io/nats.rs,100,14,0,0.79,1
nnethercote/dhat-rs,1,1,205,205.0,205
not-fl3/nanoserde,79,11,0,1.82,1
ntex-rs/ntex,100,2,0,0.0,0
nushell/reedline,100,13,0,1.77,2
nvzqz/divan,27,3,0,10.67,32
nvzqz/static-assertions,0,,,,
obi1kenobi/cargo-semver-checks,100,6,0,0.0,0
oconnor663/duct.rs,41,4,0,0.0,0
ogxd/gxhash,100,16,0,0.0,0
open-source-cooperative/keyring-rs,100,9,0,1.11,0
orf/gping,100,2,0,1.0,2
orhun/gpg-tui,100,17,0,0.47,1
orhun/halp,100,17,0,5.41,0
orhun/ratzilla,100,8,0,0.12,0
orhun/rustypaste,100,7,0,0.14,0
orhun/systeroid,100,11,0,0.09,0
orium/rpds,100,3,0,0.67,1
osa1/tiny,38,5,0,2.4,5
owo-colors/owo-colors,100,4,0,0.0,0
oxidecomputer/dropshot,100,3,0,0.67,2
oxidecomputer/progenitor,100,1,0,0.0,0
oxidecomputer/typify,100,2,0,1.5,3
oxipng/oxipng,100,7,0,0.14,0
ozkriff/zemeroth,0,,,,
p-e-w/savage,0,,,,
pacak/cargo-show-asm,100,6,0,1.0,2
paritytech/jsonrpc,0,,,,
paritytech/jsonrpsee,100,5,0,0.0,0
paupino/rust-decimal,100,13,0,3.38,2
pdf-rs/pdf,25,3,0,22.0,45
pendulum-project/ntpd-rs,100,19,0,0.0,0
petgraph/petgraph,100,9,0,0.11,0
phodal/aigc,0,,,,
pintariching/rustle,0,,,,
plotters-rs/plotters,100,15,0,0.87,0
pop-os/cosmic-text,100,24,0,2.67,1
pradt2/always-online-stun,100,1,0,0.0,0
purpleprotocol/mimalloc_rust,100,4,0,10.0,6
pythops/oryx,100,11,0,0.0,0
quantumsheep/sshs,43,9,0,17.11,3
queer/boxxy,100,27,0,12.07,1
quinn-rs/quinn,100,15,0,0.13,0
racer-rust/racer,100,1,99,99.0,99
rajasekarv/vega,1,1,159,159.0,159
ramosbugs/oauth2-rs,100,1,0,0.0,0
rathole-org/rathole,32,4,0,33.0,0
rayon-rs/rayon,100,5,0,0.0,0
redox-os/orbtk,0,,,,
regexident/cargo-modules,100,10,0,0.0,0
regolith-labs/ore-cli,43,3,0,134.33,403
retrage/gpt-macro,76,1,6,6.0,6
rgwood/systemctl-tui,9,0,0,0,0
rhaiscript/rhai,100,9,0,13.89,3
rharish101/ReGreet,66,5,0,9.2,2
rhysd/kiro-editor,0,,,,
riker-rs/riker,100,0,0,0,0
riquito/tuc,100,8,0,0.5,0
rkyv/rkyv,100,5,0,3.8,3
robertpsoane/ducker,100,1,0,0.0,0
robiot/rustcat,0,,,,
robmikh/minesweeper-rs,7,0,0,0,0
ron-rs/ron,100,12,0,0.25,0
rsadsb/adsb_deku,100,2,0,39.0,78
ruma/ruma,100,3,0,0.0,0
rust-analyzer/rowan,55,8,0,13.62,23
rust-av/Av1an,100,5,0,0.4,0
rust-av/rust-av,69,2,0,0.5,1
rust-bakery/nom,100,16,0,0.5,0
rust-cli/confy,100,4,0,0.0,0
rust-cv/cv,6,1,0,0.0,0
rust-embedded/embedded-hal,100,4,0,0.0,0
rust-embedded/heapless,100,12,0,0.0,0
rust-embedded/svd2rust,100,4,0,0.0,0
rust-fuzz/afl.rs,100,6,0,1.0,2
rust-fuzz/arbitrary,68,6,0,8.33,17
rust-fuzz/cargo-fuzz,62,9,0,18.56,36
rust-itertools/itertools,100,26,0,0.46,0
rust-lang-nursery/lazy-static.rs,8,1,1,1.0,1
rust-lang/cfg-if,100,2,0,0.0,0
rust-lang/datafrog,2,0,0,0,0
rust-lang/flate2-rs,100,2,0,0.0,0
rust-lang/futures-rs,100,12,1,3.67,6
rust-lang/git2-rs,100,17,0,0.18,0
rust-lang/hashbrown,100,10,0,0.5,1
rust-lang/log,100,12,0,0.58,0
rust-lang/polonius,3,1,0,0.0,0
rust-lang/portable-simd,100,10,0,2.4,1
rust-lang/rls,0,,,,
rust-lang/rustfix,0,,,,
rust-ndarray/ndarray,100,14,0,0.14,0
rust-num/num,58,1,314,314.0,314
rust-num/num-traits,74,1,191,191.0,191
rust-osdev/bootimage,100,4,0,23.0,34
rust-phf/rust-phf,92,15,0,6.13,3
rust-random/rand,100,9,0,0.0,0
rust-scraper/scraper,100,11,0,2.27,6
rust-secure-code/cargo-auditable,100,4,0,0.0,0
rust-shell-script/rust_cmd_lib,45,5,0,0.0,0
rust-unofficial/awesome-rust,100,18,0,0.0,0
rust-unofficial/too-many-lists,0,,,,
rust-windowing/gl-rs,9,2,0,18.0,36
rust-windowing/glutin,100,16,0,7.5,0
rustgd/cgmath,64,0,0,0,0
rustic-rs/rustic,100,11,0,0.0,0
rxRust/rxRust,12,5,0,0.0,0
ryanmcgrath/cacao,100,3,0,0.0,0
samwho/spacer,41,6,0,0.0,0
sciter-sdk/rust-sciter,0,,,,
seanmonstar/httparse,100,12,0,1.17,0
seanmonstar/num_cpus,17,1,35,35.0,35
seanmonstar/warp,64,8,0,13.62,3
serde-rs/json,100,7,0,0.0,0
serde-rs/serde,100,4,0,7.75,0
serialport/serialport-rs,100,8,0,14.75,12
servo/core-foundation-rs,100,7,0,29.43,5
servo/font-kit,35,4,0,9.5,19
servo/ipc-channel,100,11,0,0.36,0
servo/rust-smallvec,78,8,0,1.75,0
sfackler/rust-postgres,100,8,0,0.25,0
sharkdp/binocle,8,2,20,127.5,235
sharkdp/diskus,11,2,0,43.5,87
sharkdp/hexyl,61,6,0,12.67,27
sharkdp/pastel,77,12,0,7.5,6
sharkdp/vivid,32,0,0,0,0
sharksforarms/deku,100,3,0,0.0,0
shshemi/tabiew,100,8,0,0.0,0
skyzh/type-exercise-in-rust,0,,,,
smartcorelib/smartcore,100,8,0,9.12,0
smol-rs/async-channel,91,6,0,13.0,11
smol-rs/polling,100,16,0,1.5,1
smol-rs/smol,100,11,1,2.64,1
snapview/tokio-tungstenite,31,4,0,3.25,4
snapview/tungstenite-rs,100,6,0,0.17,0
softprops/shiplift,0,,,,
solidiquis/erdtree,0,,,,
someguynamedjosh/ouroboros,11,1,416,416.0,416
sourcefrog/cargo-mutants,100,11,0,0.27,0
sstadick/hck,40,4,0,13.25,2
stalwartlabs/jmap-server,1,0,0,0,0
statrs-dev/statrs,100,21,0,4.67,5
std-microblock/BetterNCM-Installer,1,1,346,346.0,346
stepchowfun/docuum,61,5,0,0.2,0
sudipghimire533/ytui-music,17,1,308,308.0,308
supabase/pg_jsonschema,78,15,0,3.47,0
suptejas/fleet,0,,,,
suptejas/volt,1,1,15,15.0,15
swanandx/lemmeknow,0,,,,
tafia/calamine,100,6,0,1.17,1
tafia/quick-xml,100,12,0,1.58,0
taiki-e/cargo-hack,100,3,0,0.0,0
taiki-e/pin-project,100,4,0,0.0,0
talwat/lowfi,38,5,0,3.0,0
tarkah/tickrs,31,10,0,19.9,0
tauri-apps/tao,100,14,0,0.0,0
tauri-apps/window-vibrancy,100,11,0,0.0,0
tealdeer-rs/tealdeer,100,9,0,0.89,2
telegram-rs/telegram-bot,0,,,,
tesselode/kira,100,4,0,0.0,0
tikv/minitrace-rust,0,,,,
tikv/pprof-rs,100,9,0,9.0,7
tikv/raft-rs,53,6,0,28.0,6
time-rs/time,100,11,2,4.0,6
tokio-rs/async-stream,71,4,0,62.75,42
tokio-rs/bytes,100,7,0,0.14,0
tokio-rs/io-uring,100,13,0,1.62,0
tokio-rs/loom,91,6,0,14.17,7
tokio-rs/mini-redis,7,1,14,14.0,14
tokio-rs/rdbc,0,,,,
tokio-rs/slab,85,4,0,12.25,7
tokio-rs/tokio,100,12,0,0.0,0
tokio-rs/tokio-uring,10,1,354,354.0,354
tokio-rs/turmoil,100,10,0,0.5,1
toml-rs/toml-rs,0,,,,
tower-rs/tower,100,10,0,5.1,11
tower-rs/tower-http,100,12,0,0.42,0
tqwewe/kameo,100,6,0,0.0,0
twilight-rs/twilight,100,13,0,2.23,1
typst/pdf-writer,100,4,0,0.0,0
ufoscout/docker-compose-wait,3,1,96,96.0,96
utkarshkukreti/select.rs,8,0,0,0,0
uuid-rs/uuid,100,3,0,0.0,0
valpackett/systemstat,8,0,0,0,0
veeso/tui-realm,100,4,0,0.0,0
vi/websocat,25,5,5,27.6,53
vincent-herlemont/native_db,100,2,0,0.0,0
vnt-dev/vnt,22,4,0,0.0,0
vorner/arc-swap,100,26,0,0.54,0
warycat/rustgym,15,1,0,0.0,0
webrtc-rs/webrtc,100,3,0,2.0,6
willdoescode/nat,0,,,,
wooorm/markdown-rs,100,6,0,0.67,1
wormtql/yas,10,1,377,377.0,377
wssheldon/osintui,48,2,0,3.5,7
xacrimon/dashmap,70,7,0,10.86,26
yaa110/nomino,47,8,0,1.25,0
yamafaktory/jql,60,2,0,0.0,0
yassinebridi/serpl,20,2,30,47.0,64
ynqa/jnv,100,15,0,0.33,0
youki-dev/youki,100,7,0,0.0,0
zaeleus/noodles,100,2,0,1.5,3
zargony/fuse-rs,0,,,,
zcash/halo2,100,26,0,1.31,0
zesterer/ariadne,37,6,15,49.0,98
zesterer/flume,16,1,10,10.0,10
zesterer/pollster,12,3,0,37.0,111
zhiburt/tabled,100,5,0,0.4,0
zhxie/pcap2socks,0,,,,
zip-rs/zip-old,0,,,,
zkat/big-brain,15,2,0,2.0,4
zkat/cacache-rs,4,0,0,0,0
zkat/miette,66,8,0,31.25,55
zkcrypto/bellman,0,,,,
zmwangx/rust-ffmpeg,100,1,79,79.0,79
